date,avg_temperature,precipitation,snow(mm)
25.04.2020,10.8,0.0,0.0
26.04.2020,11.6,0.0,0.0
27.04.2020,13.6,0.0,0.0
28.04.2020,15.9,3.9,0.0
29.04.2020,11.7,5.9,0.0
30.04.2020,12.9,2.2,0.0
01.05.2020,12.9,0.0,0.0
02.05.2020,9.5,3.3,0.0
03.05.2020,10.0,0.0,0.0
04.05.2020,8.1,0.6,0.0
05.05.2020,6.9,1.7,0.0
06.05.2020,11.0,0.0,0.0
07.05.2020,10.2,0.0,0.0
08.05.2020,13.4,0.0,0.0
09.05.2020,15.6,0.0,0.0
10.05.2020,17.0,2.6,0.0
11.05.2020,6.8,7.5,0.0
12.05.2020,6.5,0.3,0.0
13.05.2020,9.5,0.0,0.0
14.05.2020,9.1,0.0,0.0
15.05.2020,9.2,0.0,0.0
16.05.2020,11.9,0.4,0.0
17.05.2020,13.3,0.0,0.0
18.05.2020,15.7,0.0,0.0
19.05.2020,14.7,0.0,0.0
20.05.2020,15.3,0.0,0.0
21.05.2020,14.6,0.0,0.0
22.05.2020,16.6,3.3,0.0
23.05.2020,14.6,2.8,0.0
24.05.2020,12.1,15.0,0.0
25.05.2020,11.7,0.7,0.0
26.05.2020,14.2,0.0,0.0
27.05.2020,15.7,0.5,0.0
28.05.2020,14.8,0.0,0.0
29.05.2020,14.5,0.0,0.0
30.05.2020,13.7,0.0,0.0
31.05.2020,15.5,0.0,0.0
01.06.2020,17.0,0.0,0.0
02.06.2020,19.7,0.0,0.0
03.06.2020,18.5,0.0,0.0
04.06.2020,17.7,6.4,0.0
05.06.2020,13.6,0.6,0.0
06.06.2020,13.2,0.3,0.0
07.06.2020,14.3,0.1,0.0
08.06.2020,16.2,0.0,0.0
09.06.2020,17.6,0.0,0.0
10.06.2020,16.7,3.3,0.0
11.06.2020,16.6,0.1,0.0
12.06.2020,20.7,0.0,0.0
13.06.2020,21.8,12.7,0.0
14.06.2020,21.0,0.0,0.0
15.06.2020,20.0,0.0,0.0
16.06.2020,19.9,0.0,0.0
17.06.2020,22.7,0.0,0.0
18.06.2020,21.2,0.0,0.0
19.06.2020,17.9,1.1,0.0
20.06.2020,16.7,3.4,0.0
21.06.2020,18.0,0.0,0.0
22.06.2020,19.3,0.0,0.0
23.06.2020,18.7,0.0,0.0
24.06.2020,20.2,0.0,0.0
25.06.2020,23.1,0.0,0.0
26.06.2020,21.8,2.6,0.0
27.06.2020,23.7,0.0,0.0
28.06.2020,21.0,4.2,0.0
29.06.2020,18.4,0.2,0.0
30.06.2020,18.9,0.0,0.0
01.07.2020,19.5,3.3,0.0
02.07.2020,19.7,0.2,0.0
03.07.2020,18.9,0.0,0.0
04.07.2020,20.7,0.0,0.0
05.07.2020,22.1,1.4,0.0
06.07.2020,17.1,1.1,0.0
07.07.2020,15.6,0.0,0.0
08.07.2020,15.1,0.1,0.0
09.07.2020,16.5,7.2,0.0
10.07.2020,17.9,3.4,0.0
